locus_tag	ftype	length_bp	gene	EC_number	COG	product
DLIDFOLG_00076	CDS	912	gltI		COG0834	Glutamate/aspartate import solute-binding protein
DLIDFOLG_00077	CDS	741	gltJ_1		COG0765	Glutamate/aspartate import permease protein GltJ
DLIDFOLG_00078	CDS	675	gltK		COG0765	Glutamate/aspartate import permease protein GltK
DLIDFOLG_00079	CDS	726	glnQ_1	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
DLIDFOLG_00080	CDS	1671	shlB_1			Hemolysin transporter protein ShlB
DLIDFOLG_00081	CDS	1794	cdiA	3.1.-.-		tRNA nuclease CdiA
DLIDFOLG_00082	CDS	486				hypothetical protein
DLIDFOLG_00083	CDS	2583	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
DLIDFOLG_00084	CDS	591	lptE		COG2980	LPS-assembly lipoprotein LptE
DLIDFOLG_00085	CDS	1035	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
DLIDFOLG_00086	CDS	651	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
DLIDFOLG_00087	CDS	630	cobC_1	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
DLIDFOLG_00088	CDS	318	rsfS		COG0799	Ribosomal silencing factor RsfS
DLIDFOLG_00089	CDS	468	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
DLIDFOLG_00090	CDS	1902	mrdA_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
DLIDFOLG_00091	CDS	1113	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
DLIDFOLG_00092	CDS	1149	rlpA	4.2.2.-	COG0797	Endolytic peptidoglycan transglycosylase RlpA
DLIDFOLG_00093	CDS	1272	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
DLIDFOLG_00094	CDS	264				hypothetical protein
DLIDFOLG_00095	CDS	645	lipB	2.3.1.181	COG0321	Octanoyltransferase
DLIDFOLG_00096	CDS	897	ybdO_1			putative HTH-type transcriptional regulator YbdO
DLIDFOLG_00097	CDS	966	lipA	2.8.1.8	COG0320	Lipoyl synthase
DLIDFOLG_00098	CDS	204	tatE		COG1826	Sec-independent protein translocase protein TatE
DLIDFOLG_00099	CDS	789	ybeM	3.5.1.128		Deaminated glutathione amidase
DLIDFOLG_00100	CDS	384	crcB		COG0239	Putative fluoride ion transporter CrcB
DLIDFOLG_00101	CDS	210	cspE			Cold shock-like protein CspE
DLIDFOLG_00102	CDS	519	pagP	2.3.1.251		Lipid A palmitoyltransferase PagP
DLIDFOLG_00103	CDS	1374	dcuD		COG3069	Putative cryptic C4-dicarboxylate transporter DcuD
DLIDFOLG_00104	CDS	798	rna	4.6.1.21	COG3719	Ribonuclease I
DLIDFOLG_00105	CDS	411	rnk		COG0782	Regulator of nucleoside diphosphate kinase
DLIDFOLG_00106	CDS	429	uspG_1		COG0589	Universal stress protein UP12
DLIDFOLG_00107	CDS	1566	ahpF	1.8.1.-	COG3634	Alkyl hydroperoxide reductase subunit F
DLIDFOLG_00108	CDS	564	ahpC_1	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
DLIDFOLG_00109	CDS	750	dsbG		COG1651	Thiol:disulfide interchange protein DsbG
DLIDFOLG_00110	CDS	933	ybdO_2			putative HTH-type transcriptional regulator YbdO
DLIDFOLG_00111	CDS	1224	cysH_1	1.8.4.8		Phosphoadenosine phosphosulfate reductase
DLIDFOLG_00112	CDS	627	ybdM		COG1475	putative protein YbdM
DLIDFOLG_00113	CDS	1161	ybdL	2.6.1.88	COG0436	Methionine aminotransferase
DLIDFOLG_00114	CDS	690	mtnC	3.1.3.77		Enolase-phosphatase E1
DLIDFOLG_00115	CDS	543	mtnD	1.13.11.54	COG1791	Acireductone dioxygenase
DLIDFOLG_00116	CDS	2310	dmsA_1	1.7.2.3	COG0243	Dimethyl sulfoxide/trimethylamine N-oxide reductase
DLIDFOLG_00117	CDS	981	ytfQ_1			ABC transporter periplasmic-binding protein YtfQ
DLIDFOLG_00118	CDS	1551	xylG_1	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
DLIDFOLG_00119	CDS	990	alsC		COG1172	D-allose transport system permease protein AlsC
DLIDFOLG_00120	CDS	1005	rbsC_1		COG1172	Ribose import permease protein RbsC
DLIDFOLG_00121	CDS	942	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH
DLIDFOLG_00122	CDS	1029	yoaD	1.1.1.-	COG0111	Putative 2-hydroxyacid dehydrogenase YoaD
DLIDFOLG_00123	CDS	1497	lyx_1	2.7.1.-	COG1070	L-xylulose/3-keto-L-gulonate kinase
DLIDFOLG_00124	CDS	609	mtnB	4.2.1.109	COG0235	Methylthioribulose-1-phosphate dehydratase
DLIDFOLG_00125	CDS	1263	codB		COG1457	Cytosine permease
DLIDFOLG_00126	CDS	660				hypothetical protein
DLIDFOLG_00127	CDS	378				hypothetical protein
DLIDFOLG_00128	CDS	270	damX		COG3266	Cell division protein DamX
DLIDFOLG_00129	CDS	828	dam_1	2.1.1.72	COG0338	DNA adenine methylase
DLIDFOLG_00130	CDS	678	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
DLIDFOLG_00131	CDS	762	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
DLIDFOLG_00132	CDS	1005	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
DLIDFOLG_00133	CDS	1374	cysG_1		COG0007	Siroheme synthase
DLIDFOLG_00134	CDS	327	nirD	1.7.1.15	COG2146	Nitrite reductase (NADH) small subunit
DLIDFOLG_00135	CDS	570				hypothetical protein
DLIDFOLG_00136	CDS	462	yjaB	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YjaB
DLIDFOLG_00137	CDS	930	metAS	2.3.1.46	COG1897	Homoserine O-succinyltransferase
DLIDFOLG_00138	CDS	1602	aceB	2.3.3.9	COG2225	Malate synthase A
DLIDFOLG_00139	CDS	1320	aceA	4.1.3.1	COG2224	Isocitrate lyase
DLIDFOLG_00140	CDS	1785	aceK	2.7.11.5	COG4579	Isocitrate dehydrogenase kinase/phosphatase
DLIDFOLG_00141	CDS	831	iclR		COG1414	Transcriptional repressor IclR
DLIDFOLG_00142	CDS	3684	metH	2.1.1.13	COG0646	Methionine synthase
DLIDFOLG_00143	CDS	1632				hypothetical protein
DLIDFOLG_00144	CDS	690	pepE	3.4.13.21	COG3340	Peptidase E
DLIDFOLG_00145	CDS	876	rluF	5.4.99.-	COG1187	Dual-specificity RNA pseudouridine synthase RluF
DLIDFOLG_00146	CDS	273				hypothetical protein
DLIDFOLG_00147	CDS	930	panS		COG0385	Pantothenate precursors transporter PanS
DLIDFOLG_00148	CDS	1350	lysC	2.7.2.4	COG0527	Lysine-sensitive aspartokinase 3
DLIDFOLG_00149	CDS	1650	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
DLIDFOLG_00150	CDS	456	lpxD_1	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
DLIDFOLG_00151	CDS	510				hypothetical protein
DLIDFOLG_00152	CDS	381	ridA_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
DLIDFOLG_00153	CDS	321				hypothetical protein
DLIDFOLG_00154	CDS	741	ygaZ_1		COG1296	Inner membrane protein YgaZ
DLIDFOLG_00155	CDS	1278				hypothetical protein
DLIDFOLG_00156	CDS	411	psiE		COG3223	Protein PsiE
DLIDFOLG_00157	CDS	891	malG_1		COG3833	Maltose/maltodextrin transport system permease protein MalG
DLIDFOLG_00158	CDS	1545	malF		COG1175	Maltose/maltodextrin transport system permease protein MalF
DLIDFOLG_00159	CDS	582	malE		COG2182	Maltose/maltodextrin-binding periplasmic protein
DLIDFOLG_00160	CDS	1344	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
DLIDFOLG_00161	CDS	282	ompR_1			Transcriptional regulatory protein OmpR
DLIDFOLG_00162	CDS	219				hypothetical protein
DLIDFOLG_00163	CDS	801	outO			Type 4 prepilin-like proteins leader peptide-processing enzyme
DLIDFOLG_00164	CDS	714	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
DLIDFOLG_00165	CDS	579	phnP	3.1.4.55	COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase
DLIDFOLG_00166	CDS	369				hypothetical protein
DLIDFOLG_00167	CDS	2286	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
DLIDFOLG_00168	CDS	1521	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
DLIDFOLG_00169	CDS	999	rbsC_2		COG1172	Ribose import permease protein RbsC
DLIDFOLG_00170	CDS	942	rbsB_1		COG1879	Ribose import binding protein RbsB
DLIDFOLG_00171	CDS	1008	rbsK_1	2.7.1.15	COG0524	Ribokinase
DLIDFOLG_00172	CDS	918				hypothetical protein
DLIDFOLG_00173	CDS	759				hypothetical protein
DLIDFOLG_00174	CDS	729	ompR_2			Transcriptional regulatory protein OmpR
DLIDFOLG_00175	CDS	420	fdhF_1	1.17.1.9	COG0243	Formate dehydrogenase H
DLIDFOLG_00176	CDS	1680	fdhF_2	1.17.1.9	COG0243	Formate dehydrogenase H
DLIDFOLG_00177	CDS	687				hypothetical protein
DLIDFOLG_00178	CDS	1314	gltP		COG1301	Proton/glutamate-aspartate symporter
DLIDFOLG_00179	CDS	1959	acs	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
DLIDFOLG_00180	CDS	312	yjcH		COG3162	Inner membrane protein YjcH
DLIDFOLG_00181	CDS	1656	actP		COG4147	Cation/acetate symporter ActP
DLIDFOLG_00182	CDS	1098				hypothetical protein
DLIDFOLG_00183	CDS	552				hypothetical protein
DLIDFOLG_00184	CDS	2580	fimD_1		COG3188	Outer membrane usher protein FimD
DLIDFOLG_00185	CDS	690	lpfB			putative fimbrial chaperone LpfB
DLIDFOLG_00186	CDS	540	ycbV		COG3539	putative fimbrial-like protein YcbV
DLIDFOLG_00187	CDS	690	yohK_1		COG1346	Inner membrane protein YohK
DLIDFOLG_00188	CDS	408	cidA			Holin-like protein CidA
DLIDFOLG_00189	CDS	882	oxyR_1			Hydrogen peroxide-inducible genes activator
DLIDFOLG_00190	CDS	1647	nhaK		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
DLIDFOLG_00191	CDS	657	ghxP		COG2252	Guanine/hypoxanthine permease GhxP
DLIDFOLG_00192	CDS	300	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
DLIDFOLG_00193	CDS	744	cutC_1		COG3142	Copper homeostasis protein CutC
DLIDFOLG_00194	CDS	570	yecM		COG3102	Protein YecM
DLIDFOLG_00195	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
DLIDFOLG_00196	CDS	1140	yesR	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
DLIDFOLG_00197	CDS	1584	yagG_1		COG2211	Putative glycoside/cation symporter YagG
DLIDFOLG_00198	CDS	429	uspC		COG0589	Universal stress protein C
DLIDFOLG_00199	CDS	1425	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
DLIDFOLG_00200	CDS	789	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
DLIDFOLG_00201	CDS	981	araH		COG1172	L-arabinose transport system permease protein AraH
DLIDFOLG_00202	CDS	1515	araG	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
DLIDFOLG_00203	CDS	981	araF		COG1879	L-arabinose-binding periplasmic protein
DLIDFOLG_00204	CDS	510	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
DLIDFOLG_00205	CDS	1563	yagG_2		COG2211	Putative glycoside/cation symporter YagG
DLIDFOLG_00206	CDS	252				hypothetical protein
DLIDFOLG_00207	CDS	1422	hsrA_1			putative transport protein HsrA
DLIDFOLG_00208	CDS	639				hypothetical protein
DLIDFOLG_00209	CDS	498	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
DLIDFOLG_00210	CDS	240				hypothetical protein
DLIDFOLG_00211	CDS	369				hypothetical protein
DLIDFOLG_00212	CDS	339	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
DLIDFOLG_00213	CDS	774	ssuB_1	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
DLIDFOLG_00214	CDS	2073	cntO			Metal-pseudopaline receptor CntO
DLIDFOLG_00215	CDS	822	yusV		COG1120	putative siderophore transport system ATP-binding protein YusV
DLIDFOLG_00216	CDS	945	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
DLIDFOLG_00217	CDS	1578	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
DLIDFOLG_00218	CDS	1869		3.1.6.-	COG3119	Endo-4-O-sulfatase
DLIDFOLG_00219	CDS	1068	chuR	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
DLIDFOLG_00220	CDS	270				hypothetical protein
DLIDFOLG_00221	CDS	1233				hypothetical protein
DLIDFOLG_00222	CDS	888	yofA_1		COG0583	HTH-type transcriptional regulator YofA
DLIDFOLG_00223	CDS	174	yfgG			Protein YfgG
DLIDFOLG_00224	CDS	2250	pdeF	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeF
DLIDFOLG_00225	CDS	1533	ppx	3.6.1.11	COG0248	Exopolyphosphatase
DLIDFOLG_00226	CDS	2061	ppk	2.7.4.1	COG0855	Polyphosphate kinase
DLIDFOLG_00227	CDS	642	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
DLIDFOLG_00228	CDS	1038	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
DLIDFOLG_00229	CDS	894	bglK	2.7.1.85	COG1940	Beta-glucoside kinase
DLIDFOLG_00230	CDS	1434	bglA_1	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglA
DLIDFOLG_00231	CDS	627	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
DLIDFOLG_00232	CDS	1287	uraA		COG2233	Uracil permease
DLIDFOLG_00233	CDS	678	hda		COG0593	DnaA regulatory inactivator Hda
DLIDFOLG_00234	CDS	924				ISNCY family transposase ISRor2
DLIDFOLG_00235	CDS	360	yfgD		COG1393	putative protein YfgD
DLIDFOLG_00236	CDS	1464	bepA_1	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
DLIDFOLG_00237	CDS	1062	yhhT_1		COG0628	Putative transport protein YhhT
DLIDFOLG_00238	CDS	471	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
DLIDFOLG_00239	CDS	567	gcvR		COG2716	Glycine cleavage system transcriptional repressor
DLIDFOLG_00240	CDS	879	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
DLIDFOLG_00241	CDS	201				hypothetical protein
DLIDFOLG_00242	tRNA	88				tRNA-Ser(gga)
DLIDFOLG_00243	CDS	678	ycaC	4.-.-.-	COG1335	putative hydrolase YcaC
DLIDFOLG_00244	CDS	861				hypothetical protein
DLIDFOLG_00245	CDS	906	dmlR_1			HTH-type transcriptional regulator DmlR
DLIDFOLG_00246	tRNA	88				tRNA-Ser(gga)
DLIDFOLG_00247	CDS	186				hypothetical protein
DLIDFOLG_00248	CDS	930	ydcU		COG1176	Inner membrane ABC transporter permease protein YdcU
DLIDFOLG_00249	CDS	807	ydcV_1			Inner membrane ABC transporter permease protein YdcV
DLIDFOLG_00250	CDS	1428	prr	1.2.1.19	COG1012	Gamma-aminobutyraldehyde dehydrogenase
DLIDFOLG_00251	CDS	123				hypothetical protein
DLIDFOLG_00252	CDS	252				hypothetical protein
DLIDFOLG_00253	CDS	93				hypothetical protein
DLIDFOLG_00254	CDS	174	ortT			Orphan toxin OrtT
DLIDFOLG_00255	CDS	750	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
DLIDFOLG_00256	CDS	1434	vdh	1.2.1.67		Vanillin dehydrogenase
DLIDFOLG_00257	CDS	1599	dppA_1		COG0747	Periplasmic dipeptide transport protein
DLIDFOLG_00258	CDS	234	ydcY			putative protein YdcY
DLIDFOLG_00259	CDS	450	ydcZ		COG3238	Inner membrane protein YdcZ
DLIDFOLG_00260	CDS	519	mnaT	2.3.1.-	COG1247	L-amino acid N-acyltransferase MnaT
DLIDFOLG_00261	CDS	582				hypothetical protein
DLIDFOLG_00262	CDS	1038	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
DLIDFOLG_00263	CDS	936	rihA	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
DLIDFOLG_00264	CDS	300				hypothetical protein
DLIDFOLG_00265	CDS	1707	nfdA_1	3.5.1.91		N-substituted formamide deformylase
DLIDFOLG_00266	CDS	2106	fecA		COG4772	Fe(3+) dicitrate transport protein FecA
DLIDFOLG_00267	CDS	1062	yncE_1		COG3391	putative protein YncE
DLIDFOLG_00268	CDS	222	ygdR_1			putative lipoprotein YgdR
DLIDFOLG_00269	CDS	1455	ansP2		COG1113	L-asparagine permease 2
DLIDFOLG_00270	CDS	888	pgrR_1			HTH-type transcriptional regulator PgrR
DLIDFOLG_00271	CDS	552				hypothetical protein
DLIDFOLG_00272	CDS	300				hypothetical protein
DLIDFOLG_00273	CDS	1449	norV		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
DLIDFOLG_00274	CDS	465				hypothetical protein
DLIDFOLG_00275	CDS	1137				hypothetical protein
DLIDFOLG_00276	CDS	1062	zipA		COG3115	Cell division protein ZipA
DLIDFOLG_00277	CDS	762	cysZ		COG2981	Sulfate transporter CysZ
DLIDFOLG_00278	CDS	972	cysK	2.5.1.47	COG0031	Cysteine synthase A
DLIDFOLG_00279	CDS	258	ptsH		COG1925	Phosphocarrier protein HPr
DLIDFOLG_00280	CDS	1728	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
DLIDFOLG_00281	CDS	510	crr		COG2190	PTS system glucose-specific EIIA component
DLIDFOLG_00282	CDS	240				hypothetical protein
DLIDFOLG_00283	CDS	867	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
DLIDFOLG_00284	CDS	1299	ptsJ		COG1167	Vitamin B6 salvage pathway transcriptional repressor PtsJ
DLIDFOLG_00285	CDS	396	yybH		COG4319	putative protein YybH
DLIDFOLG_00286	CDS	912	cysM	2.5.1.47	COG0031	Cysteine synthase B
DLIDFOLG_00287	CDS	1095	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
DLIDFOLG_00288	CDS	876	cysW		COG4208	Sulfate transport system permease protein CysW
DLIDFOLG_00289	CDS	834	cysT		COG0555	Sulfate transport system permease protein CysT
DLIDFOLG_00290	CDS	1017	cysP		COG4150	Thiosulfate-binding protein
DLIDFOLG_00291	CDS	900	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
DLIDFOLG_00292	CDS	576	yfeY			putative protein YfeY
DLIDFOLG_00293	CDS	450	yfeZ			Inner membrane protein YfeZ
DLIDFOLG_00294	CDS	426	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
DLIDFOLG_00295	CDS	873	amiA	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiA
DLIDFOLG_00296	CDS	900	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
DLIDFOLG_00297	CDS	1053				hypothetical protein
DLIDFOLG_00298	CDS	486	eutK		COG4577	Ethanolamine utilization protein EutK
DLIDFOLG_00299	CDS	522	eutL		COG4816	Ethanolamine utilization protein EutL
DLIDFOLG_00300	CDS	507	slp		COG3065	Outer membrane protein Slp
DLIDFOLG_00301	CDS	1719	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
DLIDFOLG_00302	CDS	1116	rnd	3.1.13.5	COG0349	Ribonuclease D
DLIDFOLG_00303	CDS	270	minE		COG0851	Cell division topological specificity factor
DLIDFOLG_00304	CDS	813	minD		COG2894	Septum site-determining protein MinD
DLIDFOLG_00305	CDS	699	minC		COG0850	Septum site-determining protein MinC
DLIDFOLG_00306	CDS	282	ycgL		COG3100	Protein YcgL
DLIDFOLG_00307	CDS	660	ycgM		COG0179	putative protein YcgM
DLIDFOLG_00308	CDS	447				hypothetical protein
DLIDFOLG_00309	CDS	345	yeaR_1		COG3615	putative protein YeaR
DLIDFOLG_00310	CDS	531	dsbB		COG1495	Disulfide bond formation protein B
DLIDFOLG_00311	CDS	1551	nhaB		COG3067	Na(+)/H(+) antiporter NhaB
DLIDFOLG_00312	CDS	720	fadR		COG2186	Fatty acid metabolism regulator protein
DLIDFOLG_00313	CDS	1533				hypothetical protein
DLIDFOLG_00314	CDS	1299	dadA_1	1.4.99.-		D-amino acid dehydrogenase
DLIDFOLG_00315	CDS	1071	dadX	5.1.1.1	COG0787	Alanine racemase, catabolic
DLIDFOLG_00316	CDS	207	cvrA		COG3263	K(+)/H(+) antiporter NhaP2
DLIDFOLG_00317	CDS	804	msbA_1	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
DLIDFOLG_00318	CDS	702	aat	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
DLIDFOLG_00319	CDS	219	infA		COG0361	Translation initiation factor IF-1
DLIDFOLG_00320	CDS	2280	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
DLIDFOLG_00321	CDS	318	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
DLIDFOLG_00322	CDS	222	cspD		COG1278	Cold shock-like protein CspD
